Step,TotalE
0,-551735
1,-509707
2,-509707
3,-509707
4,-509707
5,-509707
6,-509707
7,-509707
8,-509707
9,-509707
10,-509707
11,1.68949e+07
12,1.68949e+07
13,1.68949e+07
14,1.68949e+07
15,1.68949e+07
16,1.68949e+07
17,1.68949e+07
18,1.68949e+07
19,1.68949e+07
20,1.68949e+07
21,2.01482e+07
22,2.01482e+07
23,2.01482e+07
24,2.01482e+07
25,2.01482e+07
26,2.01482e+07
27,2.01482e+07
28,2.01482e+07
29,2.01482e+07
30,2.01482e+07
31,2.02924e+07
32,2.02924e+07
33,2.02924e+07
34,2.02924e+07
35,2.02924e+07
36,2.02924e+07
37,2.02924e+07
38,2.02924e+07
39,2.02924e+07
40,2.02924e+07
41,2.03708e+07
42,2.03708e+07
43,2.03708e+07
44,2.03708e+07
45,2.03708e+07
46,2.03708e+07
47,2.03708e+07
48,2.03708e+07
49,2.03708e+07
50,2.03708e+07
51,2.04126e+07
52,2.04126e+07
53,2.04126e+07
54,2.04126e+07
55,2.04126e+07
56,2.04126e+07
57,2.04126e+07
58,2.04126e+07
59,2.04126e+07
60,2.04126e+07
61,2.04385e+07
62,2.04385e+07
63,2.04385e+07
64,2.04385e+07
65,2.04385e+07
66,2.04385e+07
67,2.04385e+07
68,2.04385e+07
69,2.04385e+07
70,2.04385e+07
71,2.04561e+07
72,2.04561e+07
73,2.04561e+07
74,2.04561e+07
75,2.04561e+07
76,2.04561e+07
77,2.04561e+07
78,2.04561e+07
79,2.04561e+07
80,2.04561e+07
81,2.04693e+07
82,2.04693e+07
83,2.04693e+07
84,2.04693e+07
85,2.04693e+07
86,2.04693e+07
87,2.04693e+07
88,2.04693e+07
89,2.04693e+07
90,2.04693e+07
91,2.04797e+07
92,2.04797e+07
93,2.04797e+07
94,2.04797e+07
95,2.04797e+07
96,2.04797e+07
97,2.04797e+07
98,2.04797e+07
99,2.04797e+07
100,2.04797e+07
101,2.04878e+07
102,2.04878e+07
103,2.04878e+07
104,2.04878e+07
105,2.04878e+07
106,2.04878e+07
107,2.04878e+07
108,2.04878e+07
109,2.04878e+07
110,2.04878e+07
111,2.04944e+07
112,2.04944e+07
113,2.04944e+07
114,2.04944e+07
115,2.04944e+07
116,2.04944e+07
117,2.04944e+07
118,2.04944e+07
119,2.04944e+07
120,2.04944e+07
121,2.04998e+07
122,2.04998e+07
123,2.04998e+07
124,2.04998e+07
125,2.04998e+07
126,2.04998e+07
127,2.04998e+07
128,2.04998e+07
129,2.04998e+07
130,2.04998e+07
131,2.05043e+07
132,2.05043e+07
133,2.05043e+07
134,2.05043e+07
135,2.05043e+07
136,2.05043e+07
137,2.05043e+07
138,2.05043e+07
139,2.05043e+07
140,2.05043e+07
141,2.05082e+07
142,2.05082e+07
143,2.05082e+07
144,2.05082e+07
145,2.05082e+07
146,2.05082e+07
147,2.05082e+07
148,2.05082e+07
149,2.05082e+07
150,2.05082e+07
151,2.05115e+07
152,2.05115e+07
153,2.05115e+07
154,2.05115e+07
155,2.05115e+07
156,2.05115e+07
157,2.05115e+07
158,2.05115e+07
159,2.05115e+07
160,2.05115e+07
161,2.05143e+07
162,2.05143e+07
163,2.05143e+07
164,2.05143e+07
165,2.05143e+07
166,2.05143e+07
167,2.05143e+07
168,2.05143e+07
169,2.05143e+07
170,2.05143e+07
171,2.05169e+07
172,2.05169e+07
173,2.05169e+07
174,2.05169e+07
175,2.05169e+07
176,2.05169e+07
177,2.05169e+07
178,2.05169e+07
179,2.05169e+07
180,2.05169e+07
181,2.05192e+07
182,2.05192e+07
183,2.05192e+07
184,2.05192e+07
185,2.05192e+07
186,2.05192e+07
187,2.05192e+07
188,2.05192e+07
189,2.05192e+07
190,2.05192e+07
191,2.05212e+07
192,2.05212e+07
193,2.05212e+07
194,2.05212e+07
195,2.05212e+07
196,2.05212e+07
197,2.05212e+07
198,2.05212e+07
199,2.05212e+07
200,2.05212e+07
201,2.0523e+07
202,2.0523e+07
203,2.0523e+07
204,2.0523e+07
205,2.0523e+07
206,2.0523e+07
207,2.0523e+07
208,2.0523e+07
209,2.0523e+07
210,2.0523e+07
211,2.05246e+07
212,2.05246e+07
213,2.05246e+07
214,2.05246e+07
215,2.05246e+07
216,2.05246e+07
217,2.05246e+07
218,2.05246e+07
219,2.05246e+07
220,2.05246e+07
221,2.05261e+07
222,2.05261e+07
223,2.05261e+07
224,2.05261e+07
225,2.05261e+07
226,2.05261e+07
227,2.05261e+07
228,2.05261e+07
229,2.05261e+07
230,2.05261e+07
231,2.05275e+07
232,2.05275e+07
233,2.05275e+07
234,2.05275e+07
235,2.05275e+07
236,2.05275e+07
237,2.05275e+07
238,2.05275e+07
239,2.05275e+07
240,2.05275e+07
241,2.05287e+07
242,2.05287e+07
243,2.05287e+07
244,2.05287e+07
245,2.05287e+07
246,2.05287e+07
247,2.05287e+07
248,2.05287e+07
249,2.05287e+07
250,2.05287e+07
251,2.05298e+07
252,2.05298e+07
253,2.05298e+07
254,2.05298e+07
255,2.05298e+07
256,2.05298e+07
257,2.05298e+07
258,2.05298e+07
259,2.05298e+07
260,2.05298e+07
261,2.05308e+07
262,2.05308e+07
263,2.05308e+07
264,2.05308e+07
265,2.05308e+07
266,2.05308e+07
267,2.05308e+07
268,2.05308e+07
269,2.05308e+07
270,2.05308e+07
271,2.05318e+07
272,2.05318e+07
273,2.05318e+07
274,2.05318e+07
275,2.05318e+07
276,2.05318e+07
277,2.05318e+07
278,2.05318e+07
279,2.05318e+07
280,2.05318e+07
281,2.05327e+07
282,2.05327e+07
283,2.05327e+07
284,2.05327e+07
285,2.05327e+07
286,2.05327e+07
287,2.05327e+07
288,2.05327e+07
289,2.05327e+07
290,2.05327e+07
291,2.05335e+07
292,2.05335e+07
293,2.05335e+07
294,2.05335e+07
295,2.05335e+07
296,2.05335e+07
297,2.05335e+07
298,2.05335e+07
299,2.05335e+07
300,2.05335e+07
301,2.05343e+07
302,2.05343e+07
303,2.05343e+07
304,2.05343e+07
305,2.05343e+07
306,2.05343e+07
307,2.05343e+07
308,2.05343e+07
309,2.05343e+07
310,2.05343e+07
311,2.0535e+07
312,2.0535e+07
313,2.0535e+07
314,2.0535e+07
315,2.0535e+07
316,2.0535e+07
317,2.0535e+07
318,2.0535e+07
319,2.0535e+07
320,2.0535e+07
321,2.05357e+07
322,2.05357e+07
323,2.05357e+07
324,2.05357e+07
325,2.05357e+07
326,2.05357e+07
327,2.05357e+07
328,2.05357e+07
329,2.05357e+07
330,2.05357e+07
331,2.05363e+07
332,2.05363e+07
333,2.05363e+07
334,2.05363e+07
335,2.05363e+07
336,2.05363e+07
337,2.05363e+07
338,2.05363e+07
339,2.05363e+07
340,2.05363e+07
341,2.05369e+07
342,2.05369e+07
343,2.05369e+07
344,2.05369e+07
345,2.05369e+07
346,2.05369e+07
347,2.05369e+07
348,2.05369e+07
349,2.05369e+07
350,2.05369e+07
351,2.05374e+07
352,2.05374e+07
353,2.05374e+07
354,2.05374e+07
355,2.05374e+07
356,2.05374e+07
357,2.05374e+07
358,2.05374e+07
359,2.05374e+07
360,2.05374e+07
361,2.05379e+07
362,2.05379e+07
363,2.05379e+07
364,2.05379e+07
365,2.05379e+07
366,2.05379e+07
367,2.05379e+07
368,2.05379e+07
369,2.05379e+07
370,2.05379e+07
371,2.05384e+07
372,2.05384e+07
373,2.05384e+07
374,2.05384e+07
375,2.05384e+07
376,2.05384e+07
377,2.05384e+07
378,2.05384e+07
379,2.05384e+07
380,2.05384e+07
381,2.05389e+07
382,2.05389e+07
383,2.05389e+07
384,2.05389e+07
385,2.05389e+07
386,2.05389e+07
387,2.05389e+07
388,2.05389e+07
389,2.05389e+07
390,2.05389e+07
391,2.05393e+07
392,2.05393e+07
393,2.05393e+07
394,2.05393e+07
395,2.05393e+07
396,2.05393e+07
397,2.05393e+07
398,2.05393e+07
399,2.05393e+07
400,2.05393e+07
401,2.05398e+07
402,2.05398e+07
403,2.05398e+07
404,2.05398e+07
405,2.05398e+07
406,2.05398e+07
407,2.05398e+07
408,2.05398e+07
409,2.05398e+07
410,2.05398e+07
411,2.05402e+07
412,2.05402e+07
413,2.05402e+07
414,2.05402e+07
415,2.05402e+07
416,2.05402e+07
417,2.05402e+07
418,2.05402e+07
419,2.05402e+07
420,2.05402e+07
421,2.05405e+07
422,2.05405e+07
423,2.05405e+07
424,2.05405e+07
425,2.05405e+07
426,2.05405e+07
427,2.05405e+07
428,2.05405e+07
429,2.05405e+07
430,2.05405e+07
431,2.05409e+07
432,2.05409e+07
433,2.05409e+07
434,2.05409e+07
435,2.05409e+07
436,2.05409e+07
437,2.05409e+07
438,2.05409e+07
439,2.05409e+07
440,2.05409e+07
441,2.05412e+07
442,2.05412e+07
443,2.05412e+07
444,2.05412e+07
445,2.05412e+07
446,2.05412e+07
447,2.05412e+07
448,2.05412e+07
449,2.05412e+07
450,2.05412e+07
451,2.05416e+07
452,2.05416e+07
453,2.05416e+07
454,2.05416e+07
455,2.05416e+07
456,2.05416e+07
457,2.05416e+07
458,2.05416e+07
459,2.05416e+07
460,2.05416e+07
461,2.05419e+07
462,2.05419e+07
463,2.05419e+07
464,2.05419e+07
465,2.05419e+07
466,2.05419e+07
467,2.05419e+07
468,2.05419e+07
469,2.05419e+07
470,2.05419e+07
471,2.05422e+07
472,2.05422e+07
473,2.05422e+07
474,2.05422e+07
475,2.05422e+07
476,2.05422e+07
477,2.05422e+07
478,2.05422e+07
479,2.05422e+07
480,2.05422e+07
481,2.05425e+07
482,2.05425e+07
483,2.05425e+07
484,2.05425e+07
485,2.05425e+07
486,2.05425e+07
487,2.05425e+07
488,2.05425e+07
489,2.05425e+07
490,2.05425e+07
491,2.05428e+07
492,2.05428e+07
493,2.05428e+07
494,2.05428e+07
495,2.05428e+07
496,2.05428e+07
497,2.05428e+07
498,2.05428e+07
499,2.05428e+07
500,2.05428e+07
501,2.0543e+07
502,2.0543e+07
503,2.0543e+07
504,2.0543e+07
505,2.0543e+07
506,2.0543e+07
507,2.0543e+07
508,2.0543e+07
509,2.0543e+07
510,2.0543e+07
511,2.05433e+07
512,2.05433e+07
513,2.05433e+07
514,2.05433e+07
515,2.05433e+07
516,2.05433e+07
517,2.05433e+07
518,2.05433e+07
519,2.05433e+07
520,2.05433e+07
521,2.05435e+07
522,2.05435e+07
523,2.05435e+07
524,2.05435e+07
525,2.05435e+07
526,2.05435e+07
527,2.05435e+07
528,2.05435e+07
529,2.05435e+07
530,2.05435e+07
531,2.05437e+07
532,2.05437e+07
533,2.05437e+07
534,2.05437e+07
535,2.05437e+07
536,2.05437e+07
537,2.05437e+07
538,2.05437e+07
539,2.05437e+07
540,2.05437e+07
541,2.0544e+07
542,2.0544e+07
543,2.0544e+07
544,2.0544e+07
545,2.0544e+07
546,2.0544e+07
547,2.0544e+07
548,2.0544e+07
549,2.0544e+07
550,2.0544e+07
551,2.05442e+07
552,2.05442e+07
553,2.05442e+07
554,2.05442e+07
555,2.05442e+07
556,2.05442e+07
557,2.05442e+07
558,2.05442e+07
559,2.05442e+07
560,2.05442e+07
561,2.05444e+07
562,2.05444e+07
563,2.05444e+07
564,2.05444e+07
565,2.05444e+07
566,2.05444e+07
567,2.05444e+07
568,2.05444e+07
569,2.05444e+07
570,2.05444e+07
571,2.05446e+07
572,2.05446e+07
573,2.05446e+07
574,2.05446e+07
575,2.05446e+07
576,2.05446e+07
577,2.05446e+07
578,2.05446e+07
579,2.05446e+07
580,2.05446e+07
581,2.05448e+07
582,2.05448e+07
583,2.05448e+07
584,2.05448e+07
585,2.05448e+07
586,2.05448e+07
587,2.05448e+07
588,2.05448e+07
589,2.05448e+07
590,2.05448e+07
591,2.0545e+07
592,2.0545e+07
593,2.0545e+07
594,2.0545e+07
595,2.0545e+07
596,2.0545e+07
597,2.0545e+07
598,2.0545e+07
599,2.0545e+07
600,2.0545e+07
601,2.05452e+07
602,2.05452e+07
603,2.05452e+07
604,2.05452e+07
605,2.05452e+07
606,2.05452e+07
607,2.05452e+07
608,2.05452e+07
609,2.05452e+07
610,2.05452e+07
611,2.05453e+07
612,2.05453e+07
613,2.05453e+07
614,2.05453e+07
615,2.05453e+07
616,2.05453e+07
617,2.05453e+07
618,2.05453e+07
619,2.05453e+07
620,2.05453e+07
621,2.05455e+07
622,2.05455e+07
623,2.05455e+07
624,2.05455e+07
625,2.05455e+07
626,2.05455e+07
627,2.05455e+07
628,2.05455e+07
629,2.05455e+07
630,2.05455e+07
631,2.05457e+07
632,2.05457e+07
633,2.05457e+07
634,2.05457e+07
635,2.05457e+07
636,2.05457e+07
637,2.05457e+07
638,2.05457e+07
639,2.05457e+07
640,2.05457e+07
641,2.05458e+07
642,2.05458e+07
643,2.05458e+07
644,2.05458e+07
645,2.05458e+07
646,2.05458e+07
647,2.05458e+07
648,2.05458e+07
649,2.05458e+07
650,2.05458e+07
651,2.0546e+07
652,2.0546e+07
653,2.0546e+07
654,2.0546e+07
655,2.0546e+07
656,2.0546e+07
657,2.0546e+07
658,2.0546e+07
659,2.0546e+07
660,2.0546e+07
661,2.05461e+07
662,2.05461e+07
663,2.05461e+07
664,2.05461e+07
665,2.05461e+07
666,2.05461e+07
667,2.05461e+07
668,2.05461e+07
669,2.05461e+07
670,2.05461e+07
671,2.05463e+07
672,2.05463e+07
673,2.05463e+07
674,2.05463e+07
675,2.05463e+07
676,2.05463e+07
677,2.05463e+07
678,2.05463e+07
679,2.05463e+07
680,2.05463e+07
681,2.05464e+07
682,2.05464e+07
683,2.05464e+07
684,2.05464e+07
685,2.05464e+07
686,2.05464e+07
687,2.05464e+07
688,2.05464e+07
689,2.05464e+07
690,2.05464e+07
691,2.05466e+07
692,2.05466e+07
693,2.05466e+07
694,2.05466e+07
695,2.05466e+07
696,2.05466e+07
697,2.05466e+07
698,2.05466e+07
699,2.05466e+07
700,2.05466e+07
701,2.05467e+07
702,2.05467e+07
703,2.05467e+07
704,2.05467e+07
705,2.05467e+07
706,2.05467e+07
707,2.05467e+07
708,2.05467e+07
709,2.05467e+07
710,2.05467e+07
711,2.05468e+07
712,2.05468e+07
713,2.05468e+07
714,2.05468e+07
715,2.05468e+07
716,2.05468e+07
717,2.05468e+07
718,2.05468e+07
719,2.05468e+07
720,2.05468e+07
721,2.05469e+07
722,2.05469e+07
723,2.05469e+07
724,2.05469e+07
725,2.05469e+07
726,2.05469e+07
727,2.05469e+07
728,2.05469e+07
729,2.05469e+07
730,2.05469e+07
731,2.05471e+07
732,2.05471e+07
733,2.05471e+07
734,2.05471e+07
735,2.05471e+07
736,2.05471e+07
737,2.05471e+07
738,2.05471e+07
739,2.05471e+07
740,2.05471e+07
741,2.05472e+07
742,2.05472e+07
743,2.05472e+07
744,2.05472e+07
745,2.05472e+07
746,2.05472e+07
747,2.05472e+07
748,2.05472e+07
749,2.05472e+07
750,2.05472e+07
751,2.05473e+07
752,2.05473e+07
753,2.05473e+07
754,2.05473e+07
755,2.05473e+07
756,2.05473e+07
757,2.05473e+07
758,2.05473e+07
759,2.05473e+07
760,2.05473e+07
761,2.05474e+07
762,2.05474e+07
763,2.05474e+07
764,2.05474e+07
765,2.05474e+07
766,2.05474e+07
767,2.05474e+07
768,2.05474e+07
769,2.05474e+07
770,2.05474e+07
771,2.05475e+07
772,2.05475e+07
773,2.05475e+07
774,2.05475e+07
775,2.05475e+07
776,2.05475e+07
777,2.05475e+07
778,2.05475e+07
779,2.05475e+07
780,2.05475e+07
781,2.05476e+07
782,2.05476e+07
783,2.05476e+07
784,2.05476e+07
785,2.05476e+07
786,2.05476e+07
787,2.05476e+07
788,2.05476e+07
789,2.05476e+07
790,2.05476e+07
791,2.05477e+07
792,2.05477e+07
793,2.05477e+07
794,2.05477e+07
795,2.05477e+07
796,2.05477e+07
797,2.05477e+07
798,2.05477e+07
799,2.05477e+07
800,2.05477e+07
801,2.05478e+07
802,2.05478e+07
803,2.05478e+07
804,2.05478e+07
805,2.05478e+07
806,2.05478e+07
807,2.05478e+07
808,2.05478e+07
809,2.05478e+07
810,2.05478e+07
811,2.05479e+07
812,2.05479e+07
813,2.05479e+07
814,2.05479e+07
815,2.05479e+07
816,2.05479e+07
817,2.05479e+07
818,2.05479e+07
819,2.05479e+07
820,2.05479e+07
821,2.0548e+07
822,2.0548e+07
823,2.0548e+07
824,2.0548e+07
825,2.0548e+07
826,2.0548e+07
827,2.0548e+07
828,2.0548e+07
829,2.0548e+07
830,2.0548e+07
831,2.05481e+07
832,2.05481e+07
833,2.05481e+07
834,2.05481e+07
835,2.05481e+07
836,2.05481e+07
837,2.05481e+07
838,2.05481e+07
839,2.05481e+07
840,2.05481e+07
841,2.05482e+07
842,2.05482e+07
843,2.05482e+07
844,2.05482e+07
845,2.05482e+07
846,2.05482e+07
847,2.05482e+07
848,2.05482e+07
849,2.05482e+07
850,2.05482e+07
851,2.05483e+07
852,2.05483e+07
853,2.05483e+07
854,2.05483e+07
855,2.05483e+07
856,2.05483e+07
857,2.05483e+07
858,2.05483e+07
859,2.05483e+07
860,2.05483e+07
861,2.05484e+07
862,2.05484e+07
863,2.05484e+07
864,2.05484e+07
865,2.05484e+07
866,2.05484e+07
867,2.05484e+07
868,2.05484e+07
869,2.05484e+07
870,2.05484e+07
871,2.05485e+07
872,2.05485e+07
873,2.05485e+07
874,2.05485e+07
875,2.05485e+07
876,2.05485e+07
877,2.05485e+07
878,2.05485e+07
879,2.05485e+07
880,2.05485e+07
881,2.05486e+07
882,2.05486e+07
883,2.05486e+07
884,2.05486e+07
885,2.05486e+07
886,2.05486e+07
887,2.05486e+07
888,2.05486e+07
889,2.05486e+07
