Step,TotalE
0,-551735
1,-551735
2,-551735
3,-551735
4,-551735
5,-551735
6,-551735
7,-551735
8,-551735
9,-551735
10,-551735
11,10405.4
12,10405.4
13,10405.4
14,10405.4
15,10405.4
16,10405.4
17,10405.4
18,10405.4
19,10405.4
20,10405.4
21,18609.3
22,18609.3
23,18609.3
24,18609.3
25,18609.3
26,18609.3
27,18609.3
28,18609.3
29,18609.3
30,18609.3
31,20177.7
32,20177.7
33,20177.7
34,20177.7
35,20177.7
36,20177.7
37,20177.7
38,20177.7
39,20177.7
40,20177.7
41,20737.3
42,20737.3
43,20737.3
44,20737.3
45,20737.3
46,20737.3
47,20737.3
48,20737.3
49,20737.3
50,20737.3
51,20999.1
52,20999.1
53,20999.1
54,20999.1
55,20999.1
56,20999.1
57,20999.1
58,20999.1
59,20999.1
60,20999.1
61,21142.2
62,21142.2
63,21142.2
64,21142.2
65,21142.2
66,21142.2
67,21142.2
68,21142.2
69,21142.2
70,21142.2
71,21228.9
72,21228.9
73,21228.9
74,21228.9
75,21228.9
76,21228.9
77,21228.9
78,21228.9
79,21228.9
80,21228.9
81,21285.4
82,21285.4
83,21285.4
84,21285.4
85,21285.4
86,21285.4
87,21285.4
88,21285.4
89,21285.4
90,21285.4
91,21324.2
92,21324.2
93,21324.2
94,21324.2
95,21324.2
96,21324.2
97,21324.2
98,21324.2
99,21324.2
100,21324.2
101,21352
102,21352
103,21352
104,21352
105,21352
106,21352
107,21352
108,21352
109,21352
110,21352
111,21372.6
112,21372.6
113,21372.6
114,21372.6
115,21372.6
116,21372.6
117,21372.6
118,21372.6
119,21372.6
120,21372.6
121,21388.3
122,21388.3
123,21388.3
124,21388.3
125,21388.3
126,21388.3
127,21388.3
128,21388.3
129,21388.3
130,21388.3
131,21400.5
132,21400.5
133,21400.5
134,21400.5
135,21400.5
136,21400.5
137,21400.5
138,21400.5
139,21400.5
140,21400.5
141,21410.2
142,21410.2
143,21410.2
144,21410.2
145,21410.2
146,21410.2
147,21410.2
148,21410.2
149,21410.2
150,21410.2
151,21418.1
152,21418.1
153,21418.1
154,21418.1
155,21418.1
156,21418.1
157,21418.1
158,21418.1
159,21418.1
160,21418.1
161,21424.5
162,21424.5
163,21424.5
164,21424.5
165,21424.5
166,21424.5
167,21424.5
168,21424.5
169,21424.5
170,21424.5
171,21429.8
172,21429.8
173,21429.8
174,21429.8
175,21429.8
176,21429.8
177,21429.8
178,21429.8
179,21429.8
180,21429.8
181,21434.3
182,21434.3
183,21434.3
184,21434.3
185,21434.3
