step,id,x,y
0,0,-11.087,2.997
0,1,16.403,15.003
0,2,32.405,35.07
0,3,22.115,35.657
10,0,-10.9704,2.95947
10,1,16.4337,15.0167
10,2,32.5248,35.7811
10,3,22.2107,35.2524
20,0,-10.8782,2.90817
20,1,16.4661,15.0006
20,2,32.7699,36.5198
20,3,22.2092,34.8862
30,0,-10.8104,2.84305
30,1,16.5004,14.9546
30,2,33.132,37.2949
30,3,22.1189,34.5492
40,0,-10.767,2.76407
40,1,16.5373,14.8786
40,2,33.5979,38.1118
40,3,21.9531,34.2356
50,0,-10.7479,2.67122
50,1,16.5774,14.7726
50,2,34.1529,38.9722
50,3,21.7268,33.9436
60,0,-10.7531,2.56452
60,1,16.6215,14.6368
60,2,34.7828,39.8751
60,3,21.4541,33.6742
70,0,-10.7824,2.44402
70,1,16.6704,14.471
70,2,35.4757,40.8179
70,3,21.1466,33.4301
80,0,-10.8357,2.30982
80,1,16.7251,14.2754
80,2,36.2215,41.7974
80,3,20.8136,33.2144
90,0,-10.9129,2.16201
90,1,16.7864,14.0502
90,2,37.0121,42.8103
90,3,20.462,33.0304
100,0,-11.0138,2.00074
100,1,16.8554,13.7956
100,2,37.8412,43.8534
100,3,20.0972,32.8808
110,0,-11.1383,1.82618
110,1,16.9333,13.5121
110,2,38.7035,44.9237
110,3,19.7228,32.768
120,0,-11.286,1.63853
120,1,17.0209,13.2003
120,2,39.5948,46.0186
120,3,19.3413,32.6935
130,0,-11.4567,1.43801
130,1,17.1195,12.8607
130,2,40.5117,47.1358
130,3,18.9545,32.6584
140,0,-11.6502,1.22489
140,1,17.23,12.4944
140,2,41.4512,48.2733
140,3,18.5635,32.6633
150,0,-11.8661,0.999439
150,1,17.3534,12.1024
150,2,42.411,49.4293
150,3,18.169,32.7079
160,0,-12.1041,0.761966
160,1,17.4904,11.6857
160,2,43.389,50.6022
160,3,17.7713,32.7917
170,0,-12.3638,0.512796
170,1,17.6418,11.2457
170,2,44.3835,51.7905
170,3,17.3706,32.9139
180,0,-12.6447,0.252273
180,1,17.8082,10.7836
180,2,45.393,52.9931
180,3,16.9669,33.0733
190,0,-12.9466,-0.0192402
190,1,17.9902,10.3008
190,2,46.4163,54.2089
190,3,16.5601,33.2683
200,0,-13.2688,-0.301372
200,1,18.1879,9.79862
200,2,47.4521,55.4368
200,3,16.1501,33.4975
210,0,-13.6108,-0.593739
210,1,18.4016,9.27834
210,2,48.4995,56.6759
210,3,15.737,33.7592
220,0,-13.9723,-0.895952
220,1,18.6314,8.74125
220,2,49.5576,57.9256
220,3,15.3206,34.0516
230,0,-14.3525,-1.20762
230,1,18.8773,8.18854
230,2,50.6256,59.1849
230,3,14.901,34.3731
240,0,-14.7511,-1.52835
240,1,19.1391,7.62136
240,2,51.7028,60.4534
240,3,14.4781,34.7219
250,0,-15.1673,-1.85776
250,1,19.4167,7.04075
250,2,52.7886,61.7304
250,3,14.052,35.0966
260,0,-15.6007,-2.19547
260,1,19.7098,6.44771
260,2,53.8824,63.0154
260,3,13.6228,35.4954
270,0,-16.0507,-2.54109
270,1,20.0181,5.84311
270,2,54.9837,64.3078
270,3,13.1904,35.917
280,0,-16.5166,-2.89427
